chva	Champlain Valley National Heritage Partnership
xrds	Crossroads of the American Revolution National Heritage Area
frwa	Freedom's Way National Heritage Area
jthg	Journey Through Hallowed Ground National Heritage Area
shvb	Shenandoah Valley Battlefields National Historic District
uphv	Upper Housatonic Valley National Heritage Area
