Unit Code	Unit	Region
DABE	David Berger National Memorial	MWRO
DELA	Delaware National Scenic River	NERO
DELE	Delaware and Lehigh Navigation Canal National Heritage Corridor	NERO
DEMO	Deshler-Morris House	NERO
DENA	Denali National Park and Preserve	AKRO
DEPO	Devils Postpile National Monument	PWRO
DESO	De Soto National Memorial	SERO
DETO	Devils Tower National Monument	IMRO
DEVA	Death Valley National Park	PWRO
DEWA	Delaware Water Gap National Recreation Area	NERO
DINO	Dinosaur National Monument	IMRO
DRTO	Dry Tortugas National Park	SERO
DSC	Denver Service Center	WASO
DWEI	Dwight D. Eisenhower National Memorial	NCRO
EAPO	East Potomac Park	NCRO
EBLA	Ebey's Landing National Historical Reserve	PWRO
EDAL	Edgar Allan Poe National Historic Site	NERO
EDIS	Thomas Edison National Historical Park	NERO
EFMO	Effigy Mounds National Monument	MWRO
EISE	Eisenhower National Historic Site	NERO
ELCA	El Camino Real de Tierra Adentro National Historic Trail	IMRO
ELIS	Ellis Island National Monument	NERO
ELMA	El Malpais National Monument	IMRO
ELMO	El Morro National Monument	IMRO
ELRO	Eleanor Roosevelt National Historic Site	NERO
ELTE	El Camino Real de los Tejas National Historic Trail	IMRO
ERIE	Erie Canalway National Heritage Corridor	NERO
ERMN	Eastern Rivers and Mountains Network	WASO
ESSE	Essex National Heritage Area	NERO
EUON	Eugene O'Neill National Historic Site	PWRO
EVER	Everglades National Park	SERO
FAMA	Father Marquette National Memorial	MWRO
FARM	Farmington National Wild and Scenic River	NERO
FATI	Fallen Timbers Battlefield History Park	MWRO
FDNC	Fort Donelson National Cemetery	SERO
FDRM	Franklin Delano Roosevelt National Memorial	NCRO
FEHA	Federal Hall National Memorial	NERO
FIIS	Fire Island National Seashore	NERO
FILA	First Ladies National Historic Site	MWRO
FIRE	Fire Management Program Center	WASO
FIVC	Fairbanks Interagency Visitor Center	WASO
FLCEPMT	Florida Caribbean Exotic Plant Management Team	WASO
FLFO	Florissant Fossil Beds National Monument	IMRO
FLNI	Flight 93 National Memorial	NERO
FOBO	Fort Bowie National Historic Site	IMRO
FOBU	Fossil Butte National Monument	IMRO
FOCA	Fort Caroline National Memorial	SERO
FOCI	Fort Circle Parks	NCRO
FODA	Fort Davis National Historic Site	IMRO
FODO	Fort Donelson National Battlefield	SERO
FODU	Fort Dupont Park	NCRO
FOFO	Fort Foote Park	NCRO
FOFR	Fort Frederica National Monument	SERO
FOLA	Fort Laramie National Historic Site	IMRO
FOLS	Fort Larned National Historic Site	MWRO
FOMA	Fort Matanzas National Monument	SERO
FOMC	Fort McHenry National Monument and Historic Shrine	NERO
FOMO	Fort Moultrie National Monument	SERO
FONE	Fort Necessity National Battlefield	NERO
FOPO	Fort Point National Historic Site	PWRO
FOPU	Fort Pulaski National Monument	SERO
FORA	Fort Raleigh National Historic Site	SERO
FOSC	Fort Scott National Historic Site	MWRO
FOSM	Fort Smith National Historic Site	MWRO
FOST	Fort Stanwix National Monument	NERO
FOSU	Fort Sumter National Monument	SERO
FOTH	Ford's Theatre National Historic Site	NCRO
FOUN	Fort Union National Monument	IMRO
FOUS	Fort Union Trading Post National Historic Site	MWRO
FOVA	Fort Vancouver National Historic Site	PWRO
FOWA	Fort Washington Park	NCRO
FRDO	Frederick Douglass National Historic Site	NCRO
FRED	Fredericksburg National Cemetery	NERO
FRHI	Friendship Hill National Historic Site	NERO
FRLA	Frederick Law Olmsted National Historic Site	NERO
FRSC	Francis Scott Key National Memorial	NCRO
FRSP	Fredericksburg and Spotsylvania National Military Park	NERO
GAAR	Gates Of The Arctic National Park and Preserve	AKRO
GARI	Gauley River National Recreation Area	NERO
GATE	Gateway National Recreation Area	NERO
GCEPMT	Gulf Coast Exotic Plant Management Team	WASO
GEGR	General Grant National Memorial	NERO
GEMM	George Mason Memorial	NCRO
GERO	George Rogers Clark National Historical Park	MWRO
GETC	Gettysburg National Cemetery	NERO
GETT	Gettysburg National Military Park	NERO
GEWA	George Washington Birthplace National Monument	NERO
GICL	Gila Cliff Dwellings National Monument	IMRO
GISD	GIS Division	WASO
GLAC	Glacier National Park	IMRO
GLBA	Glacier Bay National Park and Preserve	AKRO
GLCA	Glen Canyon National Recreation Area	IMRO
GLDE	Gloria Dei (Old Swedes') Church National Historic Site	NERO
GLEC	Glen Echo National Park	NCRO
GLEPMT	Great Lakes Exotic Plant Management Team	WASO
GLKN	Great Lakes Network	WASO
GLOR	Glorieta National Battlefield	IMRO
GOGA	Golden Gate National Recreation Area	PWRO
GOIS	Governors Island National Monument	NERO
GOSP	Golden Spike National Historic Site	IMRO
GRBA	Great Basin National Park	PWRO
GRCA	Grand Canyon National Park	IMRO
GRD	Geologic Resources Division	WASO
GREE	Greenbelt Park	NCRO
GREG	Great Egg Harbor National Scenic and Recreational River	NERO
GRFA	Great Falls Park	NCRO
GRKO	Grant-Kohrs Ranch National Historic Site	IMRO
GRON	Great Onyx Job Corps Civ Cons Center Job Corps Center	SERO
GRPO	Grand Portage National Monument	MWRO
GRSA	Great Sand Dunes National Park and Preserve	IMRO
GRSM	Great Smoky Mountains National Park	SERO
GRSP	Green Springs National Historic Landmark District	NERO
GRTE	Grand Teton National Park	IMRO
GRYN	Greater Yellowstone Network	WASO
GUCO	Guilford Courthouse National Military Park	SERO
GUIS	Gulf Islands National Seashore	SERO
GULN	Gulf Coast Network	WASO
GUMO	Guadalupe Mountains National Park	IMRO
GWCA	George Washington Carver National Monument	MWRO
GWMP	George Washington Memorial Parkway	NCRO
HAFE	Harpers Ferry National Historical Park	NCRO
HAFO	Hagerman Fossil Beds National Monument	PWRO
HAGR	Hamilton Grange National Memorial	NERO
HAHA	Harmony Hall	NCRO
HALE	Haleakala National Park	PWRO
HAMP	Hampton National Historic Site	NERO
HAVO	Hawaii Volcanoes National Park	PWRO
HEHO	Herbert Hoover National Historic Site	MWRO
HFC	Harpers Ferry Center	WASO
HFJC	Harpers Ferry Job Corps Civ Cons Ctr Job Corps Center	NCRO
HICA	Historic Camden Revolutionary War Site	SERO
HOAL	Horace M. Albright Training Center	WASO
HOBE	Horseshoe Bend National Military Park	SERO
HOCU	Hopewell Culture National Historical Park	MWRO
HOFR	Home Of Franklin D. Roosevelt National Historic Site	NERO
HOFU	Hopewell Furnace National Historic Site	NERO
HOME	Homestead National Monument of America	MWRO
